type,location,line number,code
eval_usage,/home/jino/Documents/public/winona-marketing-nuxt3/nuxt.config.ts,360,"? ((R = H.responseText), U.includes(""/first"") ? eval(R) : P || (N[B] = R))"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Treatments/v1.vue,107,"<span v-html=""treatmentsState.everybody""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Treatments/v3/Types.vue,30,"<h5 v-html=""type.subTitle""></h5>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Journal/RichtextRenderer.vue,4,"<div v-else-if=""content"" v-html=""richtextToHTML(content)"" id=""richtext-content-v2"" class=""richtext-content"" :class=""customClass"" @click=""newAdClicked""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Journal/ArticlePage/PhysicianReviewer.vue,11,"<span class=""tracking-[0.32px] desktop4kHD:text-xl text-[24px"" v-html=""reviewer.credentials.replace('<br />', '')""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Journal/ArticlePage/ReferencesRichtextRenderer.vue,2,"<div v-html=""richtextToHTML(content)"" class=""paragraph-richtext-content overflow-y-hidden"" :class=""customClass""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/GoldenCircle/Symptoms.vue,120,"<div class=""symptom-label"" v-html=""item.label""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/GoldenCircle/st18/TextCarousel.vue,14,"<div class=""w-full text-left standard-paragraph"" v-html=""i.text""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/GoldenCircle/st18/Benefits.vue,7,"<div class=""text-lg break-words text-left"" :class=""item.customClass"" v-html=""item.alt""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/FoodieCornerRecipes/Recipe/Main.vue,28,"<h1 v-html=""data.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Treatments/ImageTicker.vue,4,"<h2 v-html=""imageTicker.sectionName"" class=""font-size-heading-2 mb-[40px]""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Treatments/ImageTicker.vue,5,"<p v-html=""imageTicker.subHeader"" class=""font-size-body-2 mb-[40px]""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Treatments/Wistia.vue,5,"<div class=""text-left""><h2 class=""font-size-heading-2"" v-html=""content.sectionName""></h2></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Treatments/CareAndSupport.vue,6,"<h2 class=""font-size-heading-2"" v-html=""content.sectionName""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Treatments/Products.vue,4,"<h3 v-html=""products?.subHeader"" class=""font-size-heading-3 text-left mr-[26px] whitespace-nowrap""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Treatments/Products.vue,26,"<span v-html=""item?.title""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Home/TwoColumnSection.vue,10,"<h2 v-html=""content.sectionName""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Home/TwoColumnSection.vue,37,"<h2 v-html=""content.sectionName""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Home/HeroCRO.vue,38,"<div class=""!font-size-subheading-2 nds-desktop-sm:!font-size-subheading-1 !font-atten"" v-html=""item.item.label""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Home/Hero.vue,39,"<div class=""!font-size-subheading-2 nds-desktop-sm:!font-size-subheading-1 !font-atten"" v-html=""item.item.label""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Home/HeroCROB.vue,41,"<div class=""!font-size-subheading-2 nds-desktop-sm:!font-size-subheading-1 !font-atten"" v-html=""item.item.label""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Product/Card.vue,16,"v-html=""item.name === 'Estrogen + Progesterone Body Cream' ? 'Estrogen + Progesterone <br /> Body Cream' : item.name"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Product/WinonaWorks/Card.vue,5,"<h3 v-html=""item.fields.title""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Product/Page/Head.vue,6,"<span v-html=""content.price""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Navbar/Main/Search/Products/Item.vue,21,"<div class=""product-info__price [&>*]:font-atten"" v-html=""product.pricewithduration ?? product.price""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Accordion/index.vue,38,"<h2 v-html=""useReplaceStateHolder(accordionData?.name, stateName)"" class=""text-[#1A1A1A]""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Accordion/index.vue,42,"<h2 v-if=""accordionData?.name"" v-html=""accordionData?.name"" class=""text-[#1A1A1A]""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Accordion/Item.vue,19,"<div v-if=""stateName"" v-html=""useReplaceStateHolder(data.title, stateName)"" class=""accordion-title""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Accordion/Item.vue,20,"<h3 v-else v-html=""data.title"" class=""accordion-title""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Accordion/Item.vue,27,"<h4 v-if=""data.subHeading"" v-html=""data.subHeading"" class=""my-4""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Sections/TrustpilotVideos.vue,10,"<h2 class=""text-[#fff]"" v-else v-html=""title""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Sections/Product.vue,14,"<h2 class=""text-[#1a1a1a]"" v-else v-html=""title""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Cards/Base.vue,27,"<h3 class=""mb-4 text-[#1a1a1a] text-left font-atten nds-tablet-sm:mb-6"" v-html=""item.title""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Updated/Layout/Footer/PreFooter.vue,34,"<div class=""!font-size-subheading-2 nds-desktop-sm:!font-size-subheading-1 !font-atten"" v-html=""item.item.label""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionPhysicians.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionPhysician?.sectionName, stateName)"" id=""physicians""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionSymptoms.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionSymptoms?.sectionName, stateName)""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionFaqs.vue,10,"<h2 v-html=""useReplaceStateHolder(sectionFaq?.sectionName, stateName)""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionWhyServices.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionWhyServices?.sectionName,stateName)""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionTreatment.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionTreatment?.sectionName, stateName)""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionHero.vue,4,"<h1 v-html=""useReplaceStateHolder(props.sectionHero?.sectionName, stateName)""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionPhysiciansOld.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionPhysician?.sectionName, stateName)"" id=""physicians""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionHormoneTheraphy.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionHormoneTheraphy?.sectionName, stateName)""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/States/SectionHowServices.vue,4,"<h2 v-html=""useReplaceStateHolder(sectionHowServices?.sectionName,stateName)""></h2>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/AboutUs/List.vue,17,"<h4 v-html=""list.title""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/AboutUs/List.vue,35,"<h4 v-html=""slide.title""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Campaign001/FeelYourself.vue,24,"<p v-html=""items[0].description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Campaign001/FeelYourself.vue,31,"<p v-html=""items[1].description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/OtherOffers/Willow.vue,27,"<h1 class=""section-name"" v-html=""content.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/OtherOffers/Kindra.vue,22,"<h1 class=""section-name"" v-html=""content.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/OtherOffers/Milli.vue,8,"<h3 class=""main-header"" v-html=""content.sectionName""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/OtherOffers/Main.vue,35,"<h1 class=""section-name"" v-html=""content.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/OtherOffers/Mistake.vue,12,"<h1 class=""section-name"" v-html=""content.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/WeCare/Ebook.vue,30,"<span class=""font-atten-medium uppercase tracking-[0.02em] text-base tablet-lg:text-2xl"" v-html=""ebook.subHeader""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/Quizes.vue,8,"<span :class=""`text-[${color}] font-atten text-[22px] font-medium leading-[32px] rb-tablet-sm:text-[40px] rb-tablet-sm:leading-[50px]`"" v-html=""quizHero.sectionName""></span>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Adv/SymptomLP/Quizes.vue,25,"<span :class=""`font-atten text-[${color}] mt-[-250px] text-left font-medium text-[40px]`"" v-html=""quizHero.sectionName""></span>"
